snapshot_date,provider,slug,is_brand,focus,courses,top_terms
2026-07-07,future Training & Consulting GmbH,future-training-consulting-gmbh,0,0,28,Ewa-Exam; Marketing; Content; Künstliche; Intelligenz; Künstliche Intelligenz; Chatgpt; Engineering
2026-07-07,New Horizons Köln - NH Schulungscenter für IT und Business GmbH,new-horizons-k-ln-nh-schulungscenter-f-r-it-und-business-gmbh,0,0,28,Künstliche; Intelligenz; Künstliche Intelligenz; Chatgpt; Examen; Amp; Generative; Prompt
2026-07-07,New Horizons Hannover/Leipzig,new-horizons-hannover-leipzig,0,0,28,Chatgpt; Künstliche; Intelligenz; Künstliche Intelligenz; Generative; Examen; Amp; Azure
2026-07-07,Digethic Business School,digethic-business-school,0,0,27,Manager; Digital; Marketing; Transformation; Agile; Digital Transformation; Digital Marketing; Marketing Manager
2026-07-07,its digital akademie GmbH,its-digital-akademie-gmbh,0,0,27,Kommunikation; Marketing; Masterclass; Starter; Grafik; Social; Media; Social Media
2026-07-07,BIB Augsburg GmbH,bib-augsburg-gmbh,0,0,27,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Social-Media-Marketing; Masterclass; Starter; Social
2026-07-07,New Horizons Mitte,new-horizons-mitte,0,0,26,Developer; Certified; Salesforce; Salesforce Developer; Isaca; Information; Security; Manager
2026-07-07,Stiftung Lernen-Fördern-Arbeiten (LFA),stiftung-lernen-f-rdern-arbeiten-lfa,0,0,25,Marketing; Social-Media-Marketing; Social; Media; Social Media; Künstliche; Intelligenz; Künstliche Intelligenz
2026-07-07,SWA Bildungsakademie GmbH,swa-bildungsakademie-gmbh,0,0,25,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Social-Media-Marketing; Masterclass; Starter; Social
2026-07-07,LUTZ + GRUB ACADEMY GmbH,lutz-grub-academy-gmbh,0,0,25,Lernen; Projektmanagement; Programmierung; Programmieren; Methoden; Projektmanager; Agile; Data
2026-07-07,BilSE-Institut für Bildung und Forschung GmbH,bilse-institut-f-r-bildung-und-forschung-gmbh,0,0,24,Marketing; Einführung; Künstliche; Intelligenz; Einführung Künstliche; Künstliche Intelligenz; Social-Media-Marketing; Social
2026-07-07,Ihr JobCoach. Gesellschaft für Erwachsenenbildung mbH,ihr-jobcoach-gesellschaft-f-r-erwachsenenbildung-mbh,0,0,24,Marketing; Social-Media-Marketing; Social; Media; Social Media; Adobe; Creative; Suite
2026-07-07,TERTIA Berufsförderung GmbH & Co. KG,tertia-berufsf-rderung-gmbh-co-kg,0,0,23,Marketing; Social; Media; Social Media; Social-Media-Marketing; Masterclass; Starter; Wordpress
2026-07-07,GfM GmbH & Co. KG,gfm-gmbh-co-kg,0,0,23,Marketing; Adobe; Creative; Adobe Creative; Social-Media-Marketing; Social; Media; Social Media
2026-07-07,isb Institut für Schulung und Beruf,isb-institut-f-r-schulung-und-beruf,0,0,23,Marketing; Social-Media-Marketing; Social; Media; Social Media; Online-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,Grimm Bildungszentrum - GBZ,grimm-bildungszentrum-gbz,0,0,23,Datenanalyse; Power; Sql; Sql Datenanalyse; Grundlagen; Datenanalyse Grundlagen; Praxis; E-Commerce
2026-07-07,Volkshochschule Reutlingen GmbH,volkshochschule-reutlingen-gmbh,0,0,22,Marketing; Masterclass; Starter; E-Commerce; Einführung; Künstliche; Intelligenz; Einführung Künstliche
2026-07-07,Reha & Beruf gGmbH,reha-beruf-ggmbh,0,0,21,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Social-Media-Marketing; Social; Media; Social Media
2026-07-07,DAA - Deutsche Angestellten- Akademie gGmbH,daa-deutsche-angestellten-akademie-ggmbh,0,0,21,Digitaler; Kompetenz; Digitaler Kompetenz; Kfm; Laufende; Buchführung; Laufende Buchführung; Marketing
2026-07-07,Digiteach GmbH,digiteach-gmbh,0,0,20,Marketing; Manager; Marketing Manager; E-Commerce; Social; Media; Social Media; Content
2026-07-07,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,lernstudio-barbarossa-megakids-fortbildungs-gmbh,0,0,20,Marketing; Social-Media-Marketing; Grafik; Masterclass; Starter; Social; Media; Social Media
2026-07-07,IEC - International Education Centers GmbH,iec-international-education-centers-gmbh,0,0,20,Marketing; Social-Media-Marketing; Social; Media; Social Media; Online-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,IFP Gesellschaft für Fortbildung und Personalentwicklung mbH,ifp-gesellschaft-f-r-fortbildung-und-personalentwicklung-mbh,0,0,20,Marketing; Social-Media-Marketing; Social; Media; Social Media; Online-Marketing; Seo; Sem
2026-07-07,MARTINSFELD GmbH & Co. KG,martinsfeld-gmbh-co-kg,0,0,20,Marketing; Digital; Intensivseminar; Professionelle; Strategien; Woocommerce; Zukunft; Chatgpt
2026-07-07,Academy of Sports GmbH,academy-of-sports-gmbh,0,0,20,Marketing; Social; Digitale; Gesundheitsförderung; Media; Social Media; Kommunikation; Prävention
2026-07-07,Wirtschaftsakademie Küster GmbH,wirtschaftsakademie-k-ster-gmbh,0,0,19,Marketing; Social; Media; Social Media; Grafik; Wordpress; Aufbaukurs; Online-Marketing
2026-07-07,AWT Akademie für Wirtschaft und Technologie GmbH,awt-akademie-f-r-wirtschaft-und-technologie-gmbh,0,0,19,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,Morphos GmbH,morphos-gmbh,0,0,19,Manager; Digital; Marketing; Digital Marketing; E-Commerce; Transformation; Management; Digital Transformation
2026-07-07,Wildner Akademie für Digitale Wirtschaft & Management,wildner-akademie-f-r-digitale-wirtschaft-management,0,0,18,Marketing; Media; Content; Social; Social Media; Manager; Digitale; Management
2026-07-07,Donner + Partner GmbH Sachsen,donner-partner-gmbh-sachsen,0,0,18,Marketing; Social-Media-Marketing; Masterclass; Starter; Social; Media; Social Media; Grafik
2026-07-07,brainymotion München,brainymotion-m-nchen,0,0,18,Marketing; Masterclass; Starter; Projektmanagement; Social; Media; Social Media; Engineer
2026-07-07,VBZ Deutsches Vertriebsbildungszentrum,vbz-deutsches-vertriebsbildungszentrum,0,0,18,Sales; Vertrieb; Digitale; Digitalisierung; Social; Akquise-; Crm; Online-Verkaufstechniken
2026-07-07,TASys GmbH,tasys-gmbh,0,0,18,Experte; Künstliche; Intelligenz; Künstliche Intelligenz; Anwendung; Unternehmen; Intelligenz Anwendung; Anwendung Unternehmen
